fecha,producto,cantidad,precio
2023-01-05,Ceramica decorativa,8,45.50
2023-01-12,Textil artesanal,4,120.00
2023-01-18,Joyeria andina,6,85.00
2023-01-25,Tallado en madera,3,65.00
2023-02-03,Ceramica decorativa,10,45.50
2023-02-10,Textil artesanal,5,120.00
2023-02-17,Joyeria andina,7,85.00
2023-02-24,Tallado en madera,4,65.00
2023-03-08,Ceramica decorativa,12,45.50
2023-03-15,Textil artesanal,6,120.00
2023-03-22,Joyeria andina,8,85.00
2023-03-29,Tallado en madera,5,65.00
2023-04-05,Ceramica decorativa,14,45.50
2023-04-12,Textil artesanal,7,120.00
2023-04-19,Joyeria andina,9,85.00
2023-04-26,Tallado en madera,6,65.00
2023-05-10,Ceramica decorativa,16,45.50
2023-05-17,Textil artesanal,8,120.00
2023-05-24,Joyeria andina,10,85.00
2023-05-31,Tallado en madera,7,65.00
2023-06-07,Ceramica decorativa,18,45.50
2023-06-14,Textil artesanal,9,120.00
2023-06-21,Joyeria andina,11,85.00
2023-06-28,Tallado en madera,8,65.00
2023-07-05,Ceramica decorativa,20,45.50
2023-07-12,Textil artesanal,10,120.00
2023-07-19,Joyeria andina,12,85.00
2023-07-26,Tallado en madera,9,65.00
2023-08-02,Ceramica decorativa,22,45.50
2023-08-09,Textil artesanal,11,120.00
2023-08-16,Joyeria andina,13,85.00
2023-08-23,Tallado en madera,10,65.00
2023-09-06,Ceramica decorativa,24,45.50
2023-09-13,Textil artesanal,12,120.00
2023-09-20,Joyeria andina,14,85.00
2023-09-27,Tallado en madera,11,65.00
2023-10-04,Ceramica decorativa,26,45.50
2023-10-11,Textil artesanal,13,120.00
2023-10-18,Joyeria andina,15,85.00
2023-10-25,Tallado en madera,12,65.00
2023-11-01,Ceramica decorativa,28,45.50
2023-11-08,Textil artesanal,14,120.00
2023-11-15,Joyeria andina,16,85.00
2023-11-22,Tallado en madera,13,65.00
2023-12-06,Ceramica decorativa,30,45.50
2023-12-13,Textil artesanal,15,120.00
2023-12-20,Joyeria andina,17,85.00
2023-12-27,Tallado en madera,14,65.00
2024-01-03,Ceramica decorativa,25,45.50
2024-01-10,Textil artesanal,12,120.00
2024-01-17,Joyeria andina,14,85.00
2024-01-24,Tallado en madera,10,65.00
2024-02-07,Ceramica decorativa,27,45.50
2024-02-14,Textil artesanal,13,120.00
2024-02-21,Joyeria andina,15,85.00
2024-02-28,Tallado en madera,11,65.00
2024-03-06,Ceramica decorativa,29,45.50
2024-03-13,Textil artesanal,14,120.00
2024-03-20,Joyeria andina,16,85.00
2024-03-27,Tallado en madera,12,65.00
2024-04-03,Ceramica decorativa,31,45.50
2024-04-10,Textil artesanal,15,120.00
2024-04-17,Joyeria andina,17,85.00
2024-04-24,Tallado en madera,13,65.00
2024-05-08,Ceramica decorativa,33,45.50
2024-05-15,Textil artesanal,16,120.00
2024-05-22,Joyeria andina,18,85.00
2024-05-29,Tallado en madera,14,65.00
2024-06-05,Ceramica decorativa,35,45.50
2024-06-12,Textil artesanal,17,120.00
2024-06-19,Joyeria andina,19,85.00
2024-06-26,Tallado en madera,15,65.00
2024-07-03,Ceramica decorativa,32,45.50
2024-07-10,Textil artesanal,15,120.00
2024-07-17,Joyeria andina,17,85.00
2024-07-24,Tallado en madera,13,65.00
2024-08-07,Ceramica decorativa,30,45.50
2024-08-14,Textil artesanal,14,120.00
2024-08-21,Joyeria andina,16,85.00
2024-08-28,Tallado en madera,12,65.00
2024-09-04,Ceramica decorativa,28,45.50
2024-09-11,Textil artesanal,13,120.00
2024-09-18,Joyeria andina,15,85.00
2024-09-25,Tallado en madera,11,65.00
2024-10-02,Ceramica decorativa,26,45.50
2024-10-09,Textil artesanal,12,120.00
2024-10-16,Joyeria andina,14,85.00
2024-10-23,Tallado en madera,10,65.00
2024-11-06,Ceramica decorativa,24,45.50
2024-11-13,Textil artesanal,11,120.00
2024-11-20,Joyeria andina,13,85.00
2024-11-27,Tallado en madera,9,65.00
2024-12-04,Ceramica decorativa,22,45.50
2024-12-11,Textil artesanal,10,120.00
2024-12-18,Joyeria andina,12,85.00
2024-12-25,Tallado en madera,8,65.00
2025-01-01,Ceramica decorativa,20,45.50
2025-01-08,Textil artesanal,9,120.00
2025-01-15,Joyeria andina,11,85.00
2025-01-22,Tallado en madera,7,65.00
